ecoregion1,ecoregion2,proportion
Cordillera Oriental montane forests,Bolivian montane dry forests,0
Cordillera de Merida paramo,Bolivian montane dry forests,0
Eastern Cordillera real montane forests,Bolivian montane dry forests,0
High Monte,Bolivian montane dry forests,0.5
La Costa xeric shrublands,Bolivian montane dry forests,0
Lake,Bolivian montane dry forests,0.333333333
Lara Falcon dry forests,Bolivian montane dry forests,0
Magdalena Valley dry forests,Bolivian montane dry forests,0
Magdalena Valley montane forests,Bolivian montane dry forests,0
Magellanic subpolar forests,Bolivian montane dry forests,0.333333333
Maranon dry forests,Bolivian montane dry forests,0
Northern Andean paramo,Bolivian montane dry forests,0
Northwestern Andean montane forests,Bolivian montane dry forests,0
Patagonian steppe,Bolivian montane dry forests,0.333333333
Patia Valley dry forests,Bolivian montane dry forests,0
Peruvian Yungas,Bolivian montane dry forests,0
Rock and Ice,Bolivian montane dry forests,0.333333333
Santa Marta montane forests,Bolivian montane dry forests,0
Santa Marta paramo,Bolivian montane dry forests,0
Southern Andean Yungas,Bolivian montane dry forests,1
Southern Andean steppe,Bolivian montane dry forests,0.333333333
Tumbes Piura dry forests,Bolivian montane dry forests,0
Valdivian temperate forests,Bolivian montane dry forests,0.333333333
Venezuelan Andes montane forests,Bolivian montane dry forests,0
Araya and Paria xeric scrub,Cauca Valley dry forests,0
Atacama desert,Cauca Valley dry forests,0
Bolivian Yungas,Cauca Valley dry forests,0
Bolivian montane dry forests,Cauca Valley dry forests,0
Cauca Valley montane forests,Cauca Valley dry forests,1
Central Andean dry puna,Cauca Valley dry forests,0
Central Andean puna,Cauca Valley dry forests,0
Central Andean wet puna,Cauca Valley dry forests,0
Chilean matorral,Cauca Valley dry forests,0
Cordillera Central paramo,Cauca Valley dry forests,0
Cordillera La Costa montane forests,Cauca Valley dry forests,0
Cordillera Oriental montane forests,Cauca Valley dry forests,0.5
Cordillera de Merida paramo,Cauca Valley dry forests,0
Eastern Cordillera real montane forests,Cauca Valley dry forests,0.333333333
High Monte,Cauca Valley dry forests,0
La Costa xeric shrublands,Cauca Valley dry forests,0
Lake,Cauca Valley dry forests,0
Lara Falcon dry forests,Cauca Valley dry forests,0
Magdalena Valley dry forests,Cauca Valley dry forests,1
Magdalena Valley montane forests,Cauca Valley dry forests,1
Magellanic subpolar forests,Cauca Valley dry forests,0
Maranon dry forests,Cauca Valley dry forests,0
Northern Andean paramo,Cauca Valley dry forests,0.333333333
Northwestern Andean montane forests,Cauca Valley dry forests,0.5
Patagonian steppe,Cauca Valley dry forests,0
Patia Valley dry forests,Cauca Valley dry forests,1
Peruvian Yungas,Cauca Valley dry forests,0
Rock and Ice,Cauca Valley dry forests,0
Santa Marta montane forests,Cauca Valley dry forests,1
Santa Marta paramo,Cauca Valley dry forests,1
Southern Andean Yungas,Cauca Valley dry forests,0
Southern Andean steppe,Cauca Valley dry forests,0
Tumbes Piura dry forests,Cauca Valley dry forests,0
