,Santa Marta montane forests,Cauca Valley montane forests,Venezuelan Andes montane forests,Atacama desert,Magdalena Valley montane forests,Eastern Cordillera real montane forests,Lara-Falcon dry forests,Cordillera Oriental montane forests,Santa Marta paramo,Northwestern Andean montane forests,Cauca Valley dry forests,Magdalena Valley dry forests,Tumbes-Piura dry forests,Maranon dry forests,Bolivian Yungas,Patia Valley dry forests,Valdivian temperate forests,Southern Andean Yungas,Peruvian Yungas,Patagonian steppe,Northern Andean paramo,Magellanic subpolar forests,Cordillera Central paramo,Cordillera La Costa montane forests,Cordillera de Merida paramo,Central Andean wet puna,Central Andean puna,Bolivian montane dry forests,Araya and Paria xeric scrub,Southern Andean steppe,Central Andean dry puna,La Costa xeric shrublands,Chilean matorral,High Monte
Cordillera Central paramo,2077481.649,1386451.755,1964109.073,1866265.681,1491450.027,528241.6116,2253862.218,1572797.822,2079745.032,1074243.37,1371957.042,1296359.706,359090.1162,132729.2294,1491177.496,1041378.565,3738785.035,2250012.656,491036.3365,4294708.576,1025328.438,4918618.232,0,2345624.909,1956713.459,889263.1145,1800984.509,1848351.414,2565043.986,2717427.332,1863171.027,2308196.369,2741279.48,2613938.739
Cordillera La Costa montane forests,806152.8959,1217999.544,522528.5107,3620270.424,1041392.374,1970910.239,323424.3801,910177.1924,807217.078,1531857.607,1233307.191,1196024.079,2295831.463,2265891.498,2871950.509,1516508.415,5692500.53,3714342.86,2503513.841,6186885.942,1467851.139,6870946.195,2345624.909,0,534080.0995,2710110.037,3423111.211,3220079.418,322865.8441,4540038.261,3485793.006,59098.16704,4634464.487,4342591.216
Cordillera de Merida paramo,373904.6177,700616.8024,11559.90183,3440857.749,529672.3265,1523185.299,306466.367,408418.3852,376150.8177,1033324.55,716673.8647,707039.5317,1850592.413,1859871.471,2739858.734,1027251.343,5496323.245,3610809.144,2197063.46,6016108.109,993289.8073,6685783.965,1956713.459,534080.0995,0,2464488.18,3268362.625,3114311.045,853164.1262,4367247.037,3333776.659,536245.7633,4442870.724,4191514.999
Central Andean wet puna,2687671.112,2066788.608,2468489.755,1025053.584,2115645.138,1357218.478,2721755.099,2153493.116,2690249.774,1824831.154,2055843.068,1939609.649,1248015.113,1012694.781,633962.9972,1777330.59,3035957.962,1364181.744,398684.2392,3567025.735,1729226.323,4226777.127,889263.1145,2710110.037,2464488.18,0,922655.1876,964130.673,2841476.919,1932207.608,987074.5272,2659708.179,1989981.427,1790358.116
Central Andean puna,3532475.596,2953961.553,3270521.071,244291.1587,2982498.086,2279865.214,3494146.197,3002433.559,3535130.66,2734940.2,2944371.203,2818598.027,2156029.209,1928528.923,557223.3038,2685146.199,2276965.069,457305.5763,1316644.07,2764052.602,2630909.196,3448317.381,1800984.509,3423111.211,3268362.625,922655.1876,0,344827.2437,3490381.668,1118072.074,66513.99627,3367526.869,1225172.771,924058.4077
Bolivian montane dry forests,3403288.305,2870749.442,3115315.799,584527.4473,2878507.489,2282095.266,3319146.811,2883156.468,3405974,2686918.256,2862834.376,2728583.739,2207339.322,1966996.294,390786.2196,2633686.497,2528368.06,497193.8222,1358092.253,2984254.091,2570657.406,3676356.263,1848351.414,3220079.418,3114311.045,964130.673,344827.2437,0,3260621.121,1369582.515,371330.764,3162939.585,1499315.509,1143986.118
Araya and Paria xeric scrub,1124392.223,1522190.676,841611.662,3700108.474,1344723.455,2228405.787,636482.7239,1211788.131,1125311.68,1822567.587,1536942.827,1486493.391,2548293.279,2496109.441,2933684.948,1802344.455,5767322.328,3747335.839,2673473.907,6243470.792,1746752.103,6933480.709,2565043.986,322865.8441,853164.1262,2841476.919,3490381.668,3260621.121,0,4607577.053,3550659.985,317922.2736,4712839.586,4398422.018
Southern Andean steppe,4612922.035,3998434.977,4370053.968,926497.7002,4046538.771,3237109.649,4602739.211,4079183.301,4615535.438,3744141.091,3987263.283,3871790.575,3043043.737,2850154.094,1673947.21,3699560.035,1161632.771,940995.8856,2281699.711,1650403.207,3656561.625,2330909.419,2717427.332,4540038.261,4367247.037,1932207.608,1118072.074,1369582.515,4607577.053,0,1056994.948,4484718.191,176620.6461,253910.0035
Central Andean dry puna,3598649.341,3020453.06,3335891.311,215374.958,3048972.286,2344252.088,3558657.237,3068735.559,3601305.283,2800951.611,3010853.854,2885111.693,2217519.82,1991158.364,616977.0696,2751244.533,2217129.68,403381.7682,1380016.824,2701114.533,2697182.511,3386296.601,1863171.027,3485793.006,3333776.659,987074.5272,66513.99627,371330.764,3550659.985,1056994.948,0,3430071.911,1167776.276,859482.9988
La Costa xeric shrublands,829646.325,1207177.122,524717.3488,3565606.327,1029893.836,1942280.373,356683.5356,897498.6841,830872.2745,1514420.254,1222164.866,1178103.911,2266073.918,2230690.176,2815846.997,1496993.068,5637862.498,3656957.004,2457779.057,6131085.55,1445591.881,6815593.763,2308196.369,59098.16704,536245.7633,2659708.179,3367526.869,3162939.585,317922.2736,4484718.191,3430071.911,0,4579920.878,4286499.947
Chilean matorral,4677353.933,4049281.995,4446115.729,1014460.599,4104924.095,3265758.631,4685647.633,4143148.021,4679940.333,3784215.295,4037571.087,3926409.514,3056715.826,2873676.257,1782149.159,3741485.778,1058164.227,1094291.744,2322734.651,1577054.719,3702318.844,2243531.483,2741279.48,4634464.487,4442870.724,1989981.427,1225172.771,1499315.509,4712839.586,176620.6461,1167776.276,4579920.878,0,423983.3585
High Monte,4450051.607,3853824.342,4193801.321,765781.7981,3892375.923,3124153.793,4418122.387,3918075.306,4452692.414,3614097.176,3843365.083,3722810.841,2951324.542,2746227.778,1470654.2,3567280.755,1386869.363,694615.5959,2158562.021,1845785.85,3519508.124,2535127.373,2613938.739,4342591.216,4191514.999,1790358.116,924058.4077,1143986.118,4398422.018,253910.0035,859482.9988,4286499.947,423983.3585,0
